發生時間,發生地點,死亡受傷人數,車種,經度,緯度
111年01月15日 17時38分00秒,新竹縣竹北市中華路南下方向明新科大下坡處、台1線66公里,死亡1;受傷0,普通重型-機車,120.991837,24.859466
111年01月15日 17時40分05秒,南投縣仁愛鄉投80線3.8公里,死亡1;受傷0,普通重型-機車;行人-人,120.971382,24.065044
111年01月15日 19時18分00秒,桃園市桃園區國際路一段975巷12之1號前0.0公尺附近,死亡1;受傷0,腳踏自行車-慢車,121.286085,24.982225
111年01月15日 23時49分00秒,臺中市梧棲區安仁里臺灣大道九段2巷53號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);自用-大貨車,120.536059,24.251250
111年01月16日 08時20分00秒,屏東縣麟洛鄉民生路與信義路口,死亡1;受傷1,普通重型-機車;普通重型-機車,120.536518,22.640102
111年01月16日 10時10分00秒,臺南市善化區文昌里西拉雅大道陸橋,死亡1;受傷1,自用-小客車;普通重型-機車,120.303312,23.107895
111年01月16日 21時00分00秒,新竹縣關西鎮新力里竹21鄉道高速公路橋下(土地公廟前),死亡1;受傷0,普通輕型-機車,121.132684,24.799722
111年01月16日 21時21分00秒,臺中市烏日區湖日里新興路 / 臺中市烏日區湖日里新興路廣惠三巷,死亡1;受傷0,自用-小客車;行人-人,120.620328,24.105414
111年01月17日 05時21分00秒,臺中市清水區西社里中清路九段前0.0公尺,死亡1;受傷0,自用-小客車;自用-大貨車,120.563776,24.271274
111年01月17日 17時34分00秒,桃園市中壢區新生路三段25之1號前0.0公尺附近,死亡1;受傷0,普通重型-機車;營業用-半聯結車,121.221923,24.988848
111年01月17日 23時31分00秒,臺中市潭子區栗林里中山路三段 / 臺中市潭子區栗林里豐栗路,死亡1;受傷0,普通重型-機車;自用-小客車,120.708055,24.227679
111年01月18日 10時33分52秒,屏東縣枋山鄉台一線內獅路口,死亡1;受傷0,普通重型-機車;自用-小客車,120.643562,22.301624
111年01月18日 20時12分00秒,臺北市文山區興隆路3段192巷8弄7號前0.0公尺,死亡1;受傷1,普通重型-機車;行人-人;自用-小客車,121.557710,24.997743
111年01月18日 21時18分00秒,新北市新莊區幸福路800號前0.0公尺,死亡1;受傷2,普通重型-機車;行人-人;乘客-人,121.446334,25.049179
111年01月18日 23時30分56秒,雲林縣口湖鄉台61線南下248.8公里處,死亡1;受傷0,自用-小客車,120.151353,23.574489
111年01月19日 09時26分00秒,高雄市林園區沿海路4段 / 高雄市林園區沿海路4段,死亡1;受傷0,普通重型-機車;民營客運-大客車,120.377100,22.503740
111年01月19日 10時40分00秒,彰化縣彰化市快官里東外環路前0.0公尺,死亡1;受傷0,普通重型-機車,120.593616,24.079842
111年01月19日 18時25分00秒,臺南市善化區溪美里台19甲線北向(溪尾838號對面)機車優先道,死亡1;受傷1,普通重型-機車;腳踏自行車-慢車,120.288209,23.144529
111年01月19日 20時03分00秒,高雄市大寮區鳳林一路492號前0.0公尺,死亡1;受傷0,普通重型-機車,120.409679,22.539851
111年01月19日 21時15分18秒,南投縣國姓鄉縣147線 5公里東側向外側,死亡1;受傷0,普通重型-機車,120.868654,23.937427
111年01月19日 21時30分00秒,苗栗縣苗栗市民族路口 / 苗栗縣苗栗市北安街口,死亡1;受傷0,自用-小客車;普通重型-機車,120.817638,24.563552
111年01月20日 08時00分00秒,臺中市西屯區港尾里中平路前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車;普通重型-機車,120.658403,24.192534
111年01月20日 08時30分00秒,屏東縣車城鄉溫泉路與溫新路口,死亡1;受傷0,普通重型-機車,120.748635,22.094204
111年01月20日 09時08分00秒,臺中市后里區墩南里堤防路216號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-半聯結車,120.712873,24.279223
111年01月20日 09時37分00秒,嘉義縣新港鄉南港村159線與嘉69線路口,死亡1;受傷0,普通重型-機車;自用-大貨車,120.305364,23.559896
111年01月20日 13時17分00秒,臺南市仁德區山線 369.0公里59.0公尺文賢路二段,死亡1;受傷0,行人-人;火車-其他車,120.251529,22.907987
111年01月20日 15時58分00秒,桃園市楊梅區青山里幼獅路一段口 / 桃園市楊梅區青山里青山一街口,死亡1;受傷3,自用-小客車;普通重型-機車;普通重型-機車;乘客-人,121.177783,24.922864
111年01月20日 18時01分00秒,新竹縣竹北市中華路1003巷口,死亡1;受傷0,普通重型-機車;營業用-全聯結車;自用-小客車,121.004550,24.850059
111年01月20日 18時46分00秒,臺北市萬華區堤外便道前0.0公尺,死亡1;受傷1,腳踏自行車-慢車;普通重型-機車,121.499179,25.041590
111年01月20日 19時31分00秒,臺東縣卑南鄉賓朗橋北端,死亡1;受傷0,普通重型-機車,121.092354,22.808123
111年01月20日 23時51分00秒,彰化縣線西鄉下犁村和樂路前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車,120.466662,24.109458
111年01月21日 09時30分00秒,臺南市安南區四草大道口 / 臺南市安南區北汕尾一路口,死亡1;受傷0,普通重型-機車,120.132367,23.012065
111年01月21日 10時02分46秒,新竹縣關西鎮縣118線 32公里100.0公尺處,死亡1;受傷0,普通重型-機車,121.206519,24.775605
111年01月21日 10時14分36秒,臺南市新化區知義里中興路293號前0.0公尺東側,死亡1;受傷0,普通重型-機車,120.329237,23.025833
111年01月21日 11時12分00秒,高雄市大寮區鳳林三路 / 高雄市大寮區萬丹路,死亡1;受傷1,自用-小貨車(含客、貨兩用);自用-小客車;乘客-人,120.391053,22.612270
111年01月21日 18時04分00秒,彰化縣鹿港鎮洋厝里鹿草路3段 / 彰化縣鹿港鎮洋厝里鹿草路3段,死亡1;受傷1,行人-人;自用-小客車;普通重型-機車,120.451159,24.099557
111年01月21日 18時44分44秒,南投縣竹山鎮山崇里集山路一段1958巷口處,死亡1;受傷0,普通重型-機車,120.719185,23.808577
111年01月21日 19時40分00秒,屏東縣新園鄉五房路734-1號前0.0公尺,死亡1;受傷0,自用-小客車;電動自行車-慢車,120.437856,22.506779
111年01月21日 19時59分00秒,屏東縣恆春鎮鵝鑾路段往北,死亡1;受傷0,普通重型-機車;租賃車-小客車,120.851058,21.905593
111年01月21日 20時45分00秒,桃園市桃園區中正路60號前0.0公尺,死亡1;受傷1,行人-人;普通重型-機車,121.312540,24.991684
111年01月21日 23時00分00秒,新北市板橋區新北市板橋區大漢橋路往新莊方向上橋處,死亡1;受傷0,普通重型-機車,121.471979,25.017629
111年01月22日 00時00分00秒,臺北市士林區福國路 / 臺北市士林區福華路,死亡1;受傷0,腳踏自行車-慢車;自用-小客車,121.522468,25.101800
111年01月22日 15時52分00秒,高雄市岡山區岡山北路.號前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車;乘客-人,120.272766,22.816221
111年01月22日 20時41分00秒,苗栗縣三灣鄉中正路174號前。,死亡1;受傷1,行人-人;普通重型-機車;自用-小客車,120.957750,24.653666
111年01月22日 22時26分00秒,彰化縣溪湖鎮西勢里彰水路1段815號前0.0公尺南側,死亡1;受傷0,普通重型-機車;自用-大貨車,120.481395,23.934475
111年01月23日 16時55分00秒,高雄市甲仙區台29省道寶隆大橋號前0.0公尺附近,死亡1;受傷1,普通重型-機車;乘客-人,120.621091,23.077925
